Stem_cell_type,Counts,hpscreg,skip,riken,eagli
ES cells,1715,788,927,0,0
iPS cells,13123,2572,4603,3548,2400
Somatic Stem Cell,54,0,54,0,0
Cancer Stem Cell,7,0,7,0,0
Primary fibroblast cell lines,1148,0,0,0,1148
Others,24,0,24,0,0
